#MS Peaks One: + Product Ion (rt: 4.253 min) (1194.5400 -> **) (2021-02-22_EG_1228_9_msms.d)
#
Center X	Height
325.2816	1.12	
480.0342	1.12	
824.5096	1.12	
1206.2934	1.12	
167.7252	2	
184.5005	2	
327.3158	2	
384.3352	2	
493.3989	2	
519.3869	2	
606.4087	2	
607.4277	2	
637.5857	2	
774.2326	2	
828.4865	2	
981.6911	2	
1057.7602	2	
1112.5756	2	
230.1522	2.04	
307.2412	2.04	
328.2534	2.04	
377.268	2.04	
1233.479	2.04	
111.2032	2.25	
198.8397	2.25	
224.5735	2.25	
229.3278	2.25	
316.2249	2.25	
590.3277	2.25	
139.5991	3	
166.18	3	
197.4869	3	
222.228	3	
225.807	3	
228.2159	3	
480.3312	3	
579.3714	3	
1230.5137	3	
1370.7635	3	
1576.8418	3	
1709	3	
253.2067	3.02	
660.3935	3.02	
1178.5507	3.02	
1577.9737	3.02	
1662.8213	3.02	
2038.3557	3.02	
223.2397	3.04	
259.1428	3.04	
470.9772	3.04	
650.3921	3.04	
837.4539	3.04	
1181.6084	3.04	
1206.8182	3.04	
1652.8308	3.04	
338.246	3.12	
518.0295	3.12	
608.5082	3.12	
980.6125	3.12	
1466.7709	3.12	
1552.7818	3.12	
146.1902	3.25	
548.2081	3.25	
1977.1763	3.25	
298.3839	3.38	
702.0123	3.38	
1148.6453	3.38	
171.2045	4	
185.5737	4	
387.3117	4	
408.5324	4	
463.39	4	
728.4515	4	
788.5532	4	
886.5196	4	
285.178	4.02	
291.2674	4.02	
324.3608	4.02	
392.2921	4.02	
428.8437	4.02	
791.4546	4.02	
1039.9979	4.02	
232.1709	4.03	
974.5821	4.03	
160.3891	4.04	
484.358	4.04	
133.1252	4.08	
144.4952	4.08	
237.797	4.08	
302.2236	4.08	
313.2898	4.08	
505.1332	4.08	
549.3425	4.08	
1117.2434	4.08	
1253.5917	4.08	
227.3876	4.12	
596.1485	4.12	
624.3844	4.12	
732.3863	4.12	
794.0292	4.12	
891.5325	4.12	
949.4016	4.12	
1059.4169	4.12	
319.8018	4.22	
515.2977	4.22	
1172.7846	4.22	
1599.8204	4.22	
198.0119	4.25	
353.5948	4.25	
766.2217	4.38	
218.536	4.5	
1080.7059	4.5	
1426.9448	4.5	
262.7354	5	
294.2548	5	
401.1685	5	
505.3754	5	
857.2027	5	
933.4857	5	
1025.3998	5	
1544.5884	5	
283.2854	5.01	
675.9268	5.01	
772.4734	5.01	
1223.4047	5.01	
2370.4115	5.01	
441.2627	5.02	
532.1379	5.02	
872.8015	5.02	
217.615	5.03	
365.2742	5.03	
551.3404	5.04	
567.3872	5.04	
110.1337	5.06	
226.4604	5.06	
308.644	5.06	
184.0806	5.08	
235.2209	5.08	
292.2312	5.08	
319.3042	5.08	
382.6405	5.08	
402.2831	5.08	
252.1782	5.12	
266.239	5.12	
368.287	5.12	
461.3062	5.12	
1509.8396	5.12	
2221.4435	5.12	
105.1102	5.16	
273.6118	5.16	
322.9415	5.16	
420.5408	5.16	
1002.1938	5.16	
194.4455	5.22	
580.3674	5.22	
1686.8336	5.22	
175.0206	5.25	
1395.7189	5.25	
525.3858	5.33	
815.2758	5.33	
888.3147	5.33	
1157.432	5.33	
1473.3491	5.33	
175.1448	5.38	
693.4561	5.38	
467.3413	5.62	
157.5713	6	
244.9679	6	
290.2243	6	
450.3666	6	
563.445	6	
1154.5959	6	
1233.4058	6	
1277.6782	6	
1491.7346	6	
272.9568	6.01	
522.3774	6.01	
613.3699	6.01	
249.4105	6.02	
754.1999	6.02	
902.4572	6.02	
1051.7889	6.02	
1306.6006	6.02	
127.1676	6.04	
445.3581	6.05	
479.3415	6.05	
170.1418	6.08	
306.5777	6.08	
941.2359	6.08	
158.5097	6.12	
256.2787	6.12	
391.8097	6.12	
404.2789	6.12	
1022.975	6.12	
1205.4935	6.12	
313.3326	6.16	
211.7105	6.22	
1310.5638	6.22	
157.192	6.25	
271.6466	6.25	
538.4665	6.25	
544.3477	6.33	
316.1774	6.38	
513.3568	6.38	
879.4422	6.38	
113.1236	6.45	
116.136	6.45	
566.4751	6.45	
184.2031	6.5	
529.2753	6.62	
128.1171	7	
172.4072	7	
215.1966	7	
261.1992	7	
348.2656	7	
426.298	7	
584.4258	7.01	
609.3823	7.01	
921.4757	7.01	
1070.6745	7.01	
147.5404	7.02	
208.4237	7.04	
386.2864	7.04	
142.1629	7.05	
299.2581	7.05	
1346.5642	7.05	
736.7022	7.08	
152.1648	7.1	
129.1545	7.12	
1090.1872	7.12	
225.5588	7.16	
1477.8063	7.16	
253.5276	7.2	
260.2008	7.2	
411.5728	7.2	
562.3522	7.2	
2389.9459	7.2	
754.3979	7.22	
1217.5853	7.22	
211.3186	7.25	
985.5745	7.33	
297.5586	7.35	
538.3852	7.35	
578.6694	7.35	
1132.5473	7.35	
1510.7908	7.35	
283.1406	7.56	
825.4904	7.56	
1454.6658	7.56	
371.2334	7.75	
540.9007	7.75	
193.171	7.88	
155.3454	8	
284.2631	8	
483.6276	8	
786.2417	8	
984.5027	8	
263.2258	8.01	
264.9385	8.01	
335.2167	8.01	
410.4172	8.01	
529.3433	8.01	
593.645	8.01	
660.2772	8.02	
715.3786	8.02	
867.4502	8.02	
1057.6922	8.02	
140.0915	8.04	
159.5872	8.04	
304.2026	8.04	
356.5649	8.04	
386.382	8.04	
781.289	8.04	
794.3515	8.04	
1092.6103	8.04	
1509.2773	8.04	
422.446	8.05	
821.4785	8.05	
321.5632	8.08	
565.807	8.09	
226.8633	8.1	
155.7901	8.17	
265.0277	8.17	
1977.1344	8.17	
1358.6052	8.2	
936.4003	8.25	
386.2713	8.28	
755.6706	8.28	
1132.7804	8.28	
132.1322	8.33	
312.173	8.33	
211.2951	8.45	
217.1543	8.45	
753.7904	8.45	
892.4045	8.5	
356.0171	8.62	
1193.4929	8.68	
643.2898	8.88	
109.133	9	
568.3645	9	
1005.6186	9	
1243.4844	9	
1619.7491	9	
112.0349	9.01	
356.2565	9.01	
923.7877	9.01	
1576.7727	9.01	
1932.4821	9.01	
913.2958	9.02	
348.3824	9.03	
486.1072	9.03	
1625.181	9.03	
211.244	9.04	
216.1818	9.04	
232.5523	9.04	
297.8348	9.04	
533.2864	9.04	
456.4134	9.05	
1047.6224	9.05	
164.1037	9.07	
240.7971	9.07	
628.2908	9.07	
848.4129	9.07	
1338.5674	9.07	
238.8011	9.08	
211.9003	9.09	
245.9372	9.09	
675.1317	9.09	
1147.4619	9.09	
201.3101	9.1	
795.4098	9.1	
114.0786	9.14	
239.6873	9.14	
264.7732	9.14	
1526.9225	9.14	
504.1171	9.16	
731.4928	9.16	
221.1982	9.17	
1600.795	9.17	
271.838	9.2	
1220.622	9.2	
141.3609	9.22	
173.5729	9.24	
789.4611	9.24	
1054.4733	9.24	
387.2834	9.25	
1251.5234	9.25	
856.3986	9.28	
440.291	9.33	
689.4784	9.38	
1011.4718	9.38	
926.3022	9.45	
1093.5257	9.45	
499.3101	9.5	
283.7984	9.56	
563.3636	9.56	
598.1446	9.56	
1107.4589	9.56	
1697.5418	9.56	
369.2552	9.68	
155.442	9.8	
170.2567	9.8	
102.0868	10	
310.2091	10	
424.5954	10	
1070.5267	10	
1165.4629	10	
1313.6581	10	
113.2781	10.01	
205.5735	10.01	
610.9534	10.01	
739.3644	10.01	
215.2782	10.03	
421.7271	10.03	
480.3998	10.03	
448.238	10.04	
548.089	10.04	
1790.7877	10.04	
314.1884	10.06	
527.1061	10.06	
212.9185	10.07	
412.4123	10.07	
382.7016	10.09	
1097.4736	10.1	
490.7086	10.12	
890.3843	10.16	
606.8025	10.17	
861.7369	10.17	
1076.4711	10.17	
138.1763	10.21	
1187.1341	10.21	
519.9362	10.22	
911.319	10.22	
1517.5567	10.22	
265.3494	10.25	
333.7928	10.32	
359.6496	10.32	
1379.6664	10.33	
206.0679	10.35	
240.3434	10.35	
766.4462	10.35	
197.5852	10.47	
270.2573	10.47	
390.2651	10.47	
1120.023	10.47	
929.3791	10.5	
524.1491	10.56	
250.3931	10.67	
240.585	10.68	
159.3056	10.92	
206.2653	10.92	
342.3388	10.92	
412.5911	10.92	
817.4919	10.92	
233.1569	11	
266.5009	11	
349.2706	11	
390.3238	11	
426.6784	11	
703.8785	11	
1129.6127	11	
192.7583	11.01	
227.3714	11.01	
526.2475	11.01	
1064.4738	11.01	
283.2035	11.02	
371.7928	11.02	
770.3587	11.02	
334.2184	11.03	
115.2093	11.04	
282.8	11.06	
468.5818	11.06	
1419.6412	11.06	
673.2637	11.07	
935.4444	11.07	
704.369	11.08	
315.22	11.1	
1489.6278	11.11	
1018.622	11.12	
370.3956	11.16	
885.2907	11.17	
1860.9931	11.17	
1023.4086	11.18	
1910.0114	11.18	
511.8892	11.21	
720.8356	11.21	
876.7263	11.25	
1341.7118	11.25	
1765.8036	11.25	
134.3559	11.28	
644.4671	11.28	
999.401	11.28	
1234.6624	11.28	
330.2401	11.41	
1192.4693	11.41	
1314.6911	11.41	
160.155	11.45	
331.2375	11.45	
514.3483	11.5	
1038.4238	11.5	
1430.003	11.56	
1368.9339	11.57	
1625.4431	11.57	
284.7146	11.62	
873.9073	11.68	
167.3505	11.78	
492.5002	11.78	
554.5333	11.88	
820.2686	11.88	
298.5271	11.92	
370.7146	12	
795.4784	12	
1177.2572	12	
1217.6491	12	
1365.5898	12	
200.0595	12.01	
298.9395	12.01	
736.7865	12.01	
1137.828	12.01	
239.5425	12.02	
619.2199	12.02	
821.4292	12.02	
722.3046	12.04	
881.8608	12.04	
541.8345	12.05	
423.8616	12.06	
250.559	12.08	
1047.0263	12.08	
1761.804	12.08	
347.2415	12.1	
574.3878	12.1	
1407.9578	12.1	
432.2711	12.12	
467.8072	12.12	
729.3627	12.12	
1245.5443	12.12	
296.4329	12.14	
867.327	12.14	
125.8183	12.16	
183.9627	12.16	
478.3677	12.17	
2929.8601	12.17	
181.1643	12.2	
187.1489	12.21	
736.8242	12.21	
308.363	12.24	
262.0149	12.25	
301.0989	12.25	
346.3613	12.25	
554.9117	12.25	
679.7	12.25	
1561.7484	12.25	
488.2936	12.28	
171.7778	12.32	
284.7497	12.36	
422.789	12.36	
551.4806	12.36	
1123.9659	12.36	
237.9215	12.45	
1209.5394	12.45	
106.3505	12.5	
1674.7268	12.5	
457.3585	12.56	
520.2255	12.56	
712.7553	12.56	
924.1919	12.68	
1092.6686	12.68	
216.4719	12.89	
552.6173	12.89	
661.4245	12.89	
222.3835	13	
400.2571	13	
497.4139	13	
867.0506	13	
2963.8018	13	
268.2172	13.01	
273.2497	13.01	
361.1014	13.01	
384.8259	13.01	
491.987	13.01	
716.5309	13.01	
768.8648	13.01	
1191.8571	13.01	
1193.8257	13.01	
1290.6938	13.01	
1365.6733	13.01	
264.3379	13.02	
351.0537	13.02	
490.6541	13.02	
1021.4082	13.02	
1317.541	13.02	
430.218	13.03	
637.3488	13.03	
1392.3775	13.04	
1968.909	13.04	
274.9305	13.05	
391.5909	13.06	
1162.4013	13.08	
144.2489	13.09	
264.547	13.09	
850.3072	13.09	
900.2659	13.09	
1764.9128	13.11	
497.7155	13.12	
801.2922	13.12	
508.0354	13.15	
1155.47	13.15	
1446.6933	13.15	
211.4503	13.16	
786.5147	13.16	
638.9903	13.17	
313.6467	13.18	
830.4259	13.25	
922.341	13.32	
1076.3682	13.32	
184.1812	13.35	
468.3713	13.36	
774.2998	13.41	
474.8093	13.44	
222.195	13.45	
690.3397	13.56	
720.9463	13.57	
370.7751	13.6	
1473.6945	13.6	
687.2343	13.68	
1219.6169	13.78	
1206.5815	13.92	
130.1672	14	
502.3016	14	
527.7851	14	
1249.6077	14	
334.6238	14.01	
844.4085	14.01	
325.6641	14.02	
664.831	14.02	
182.2273	14.03	
391.8944	14.03	
508.4507	14.03	
584.7632	14.04	
1026.4639	14.04	
1371.8199	14.04	
172.17	14.07	
123.5549	14.08	
276.2443	14.08	
1582.7405	14.1	
2862.2823	14.11	
288.4139	14.12	
1025.4668	14.14	
1360.6174	14.14	
310.3193	14.16	
775.5097	14.16	
223.188	14.17	
826.2171	14.2	
1014.4	14.2	
226.2512	14.22	
1910.5261	14.28	
1392.7848	14.29	
612.9637	14.32	
587.1463	14.35	
1562.7507	14.35	
914.7359	14.36	
817.6302	14.4	
1235.6162	14.4	
100.0634	14.41	
494.5701	14.47	
436.6511	14.5	
1273.5389	14.5	
943.4129	14.53	
986.4177	14.62	
224.9349	14.68	
299.8287	14.68	
615.7347	14.68	
811.4395	14.68	
226.3116	14.78	
464.8565	14.78	
894.4756	14.78	
1728.3686	14.89	
162.4585	14.92	
711.5343	15	
801.0561	15	
1446.7594	15	
1607.226	15	
453.6613	15.01	
895.3322	15.01	
609.6912	15.02	
872.8837	15.02	
915.1983	15.02	
297.6369	15.04	
300.4618	15.04	
3095.9151	15.04	
1054.7216	15.05	
1915.1186	15.06	
167.2978	15.08	
663.3533	15.08	
1051.4734	15.08	
293.3291	15.09	
797.234	15.09	
433.2583	15.11	
1416.6569	15.11	
377.1144	15.12	
1353.4602	15.12	
1484.5781	15.12	
510.1842	15.14	
1426.6699	15.15	
142.1402	15.16	
802.5962	15.16	
1858.8935	15.17	
243.7183	15.18	
1285.9201	15.19	
202.1985	15.21	
542.2957	15.21	
1034.2778	15.21	
847.4951	15.22	
169.454	15.32	
1117.4472	15.32	
1980.8795	15.32	
335.6478	15.35	
588.7683	15.35	
238.7466	15.36	
610.8415	15.36	
465.8348	15.4	
199.9763	15.41	
984.3491	15.41	
360.3025	15.48	
382.2398	15.48	
522.9257	15.48	
957.3096	15.48	
841.4336	15.57	
1431.9267	15.69	
209.163	15.78	
111.1336	15.88	
272.4674	15.89	
793.351	15.89	
1401.5596	15.89	
772.1413	15.92	
224.8637	16	
360.1188	16	
505.4176	16	
1039.6858	16	
1250.554	16	
159.4309	16.01	
901.4969	16.01	
949.2938	16.01	
1124.4056	16.01	
205.7778	16.02	
466.9738	16.02	
495.3562	16.03	
614.3171	16.04	
809.7064	16.05	
1376.5741	16.05	
242.5477	16.08	
424.2681	16.08	
1059.8406	16.09	
125.2264	16.11	
249.3322	16.12	
313.9947	16.12	
469.4112	16.12	
708.331	16.12	
350.6241	16.16	
760.484	16.17	
461.6035	16.19	
1001.3687	16.23	
476.1205	16.24	
677.5746	16.24	
509.7446	16.25	
1341.5947	16.36	
178.1518	16.38	
386.9057	16.41	
1597.7913	16.41	
181.332	16.44	
338.3485	16.44	
589.5556	16.44	
628.927	16.44	
1268.5632	16.44	
1392.6368	16.44	
2454.1055	16.44	
418.2516	16.45	
416.1006	16.53	
139.1288	16.56	
769.7131	16.57	
1518.3715	16.62	
655.2776	16.72	
709.9872	16.72	
1024.054	16.72	
1050.421	16.8	
1152.5372	16.8	
115.2701	16.9	
583.6046	16.9	
1128.3525	16.9	
1427.5237	16.9	
537.7152	17.01	
1018.5221	17.01	
1304.5907	17.01	
466.41	17.02	
555.4708	17.02	
564.9145	17.02	
575.1544	17.02	
785.6097	17.05	
826.4448	17.05	
324.9495	17.06	
692.2987	17.06	
909.3809	17.06	
526.3154	17.08	
1439.6954	17.11	
250.1774	17.12	
1185.5058	17.12	
1288.5872	17.12	
223.9307	17.16	
1351.1852	17.16	
870.2364	17.17	
707.8399	17.2	
424.8568	17.23	
503.8763	17.24	
686.2854	17.24	
811.3454	17.25	
433.8228	17.27	
122.0264	17.28	
264.9149	17.28	
764.457	17.32	
943.1766	17.32	
470.0145	17.36	
532.172	17.36	
2497.8998	17.36	
293.4544	17.4	
414.1291	17.4	
483.085	17.4	
994.1119	17.4	
1059.5133	17.4	
824.6294	17.52	
1420.5762	17.52	
1012.3488	17.53	
1624.9063	17.53	
365.5305	17.56	
1503.7285	17.6	
282.235	17.62	
441.3433	17.65	
506.5668	17.65	
129.312	17.66	
550.5588	17.66	
853.8277	17.66	
1778.7976	17.72	
697.0578	17.75	
225.5146	17.8	
215.6557	18	
311.2752	18	
733.347	18	
1237.6084	18	
1526.4337	18	
1537.698	18	
343.7856	18.01	
1435.0833	18.01	
1622.3939	18.02	
1497.6066	18.03	
1388.5929	18.04	
1151.5091	18.05	
240.3119	18.09	
735.9093	18.1	
429.0077	18.12	
1164.5139	18.12	
205.404	18.15	
860.8699	18.15	
309.5591	18.16	
651.5273	18.16	
659.1615	18.21	
963.4374	18.21	
431.121	18.23	
984.7011	18.23	
881.7252	18.24	
1682.8113	18.28	
1256.5468	18.29	
297.2824	18.32	
197.2232	18.36	
129.9712	18.41	
948.4364	18.48	
981.6152	18.48	
1224.9648	18.48	
2465.2557	18.5	
168.1936	18.52	
1306.5253	18.52	
137.1417	18.53	
647.1975	18.6	
224.4899	18.65	
794.4109	18.72	
115.2883	18.75	
1231.6295	18.75	
296.5573	18.78	
129.4147	19	
315.2923	19	
2400.441	19	
361.5835	19.01	
1149.7117	19.01	
1334.145	19.02	
746.4314	19.03	
1407.6058	19.03	
449.4603	19.05	
767.3718	19.07	
709.2365	19.08	
1323.6668	19.08	
346.426	19.09	
419.0951	19.09	
274.4116	19.11	
478.0562	19.11	
990.4018	19.11	
246.75	19.12	
470.6041	19.12	
1241.5242	19.12	
1412.6306	19.15	
422.1145	19.16	
356.8143	19.17	
409.5798	19.17	
844.3279	19.2	
569.2017	19.21	
678.758	19.21	
669.7601	19.27	
1393.6629	19.28	
787.999	19.34	
854.4959	19.34	
1018.256	19.35	
2418.6962	19.35	
200.1367	19.36	
210.5637	19.41	
1017.2701	19.44	
862.86	19.47	
1239.6267	19.48	
1173.5672	19.5	
160.3671	19.56	
342.6133	19.56	
202.2547	19.6	
235.3129	19.6	
1176.4029	19.6	
387.8936	19.66	
509.039	19.66	
169.9815	19.68	
549.3006	19.68	
127.4027	19.69	
1392.56	19.72	
602.3325	19.78	
884.4136	19.8	
1140.6142	19.88	
108.5144	19.9	
242.3691	20	
687.2753	20.01	
1084.4799	20.01	
1091.4499	20.01	
1474.7081	20.01	
875.2162	20.02	
1034.489	20.02	
652.3527	20.03	
132.4891	20.06	
614.3773	20.08	
843.2762	20.08	
216.4118	20.09	
477.2754	20.12	
1017.7126	20.12	
1271.624	20.12	
267.159	20.14	
1072.5391	20.14	
264.6375	20.17	
526.4286	20.19	
143.4069	20.21	
155.2063	20.21	
384.7426	20.23	
209.4537	20.29	
713.8075	20.33	
1881.8477	20.33	
1413.6337	20.34	
526.1743	20.36	
411.3014	20.38	
683.4225	20.38	
1646.0548	20.42	
1055.4557	20.44	
1259.5486	20.5	
887.3232	20.53	
603.2708	20.62	
422.5103	20.64	
1050.5381	20.64	
239.8862	20.66	
206.2201	20.78	
341.4564	20.78	
357.3196	20.78	
386.4778	20.78	
537.5233	20.78	
1798.1551	20.78	
263.6179	20.88	
1125.7663	20.9	
1251.5698	20.9	
333.0757	21	
356.9457	21	
448.4073	21	
523.9355	21	
1230.5877	21	
240.2042	21.01	
308.9555	21.01	
487.2686	21.01	
854.1734	21.01	
114.1432	21.02	
920.362	21.02	
1369.9205	21.02	
408.3216	21.04	
341.4939	21.06	
1328.5646	21.07	
118.4292	21.08	
412.6241	21.08	
1177.5613	21.08	
1576.7175	21.08	
650.899	21.09	
2966.2051	21.1	
864.2487	21.11	
1052.3536	21.12	
1281.5573	21.15	
734.4863	21.19	
1545.1487	21.2	
253.6875	21.21	
995.5073	21.21	
2205.5678	21.22	
2758.5515	21.22	
631.1347	21.25	
641.3673	21.28	
1008.4643	21.31	
296.2953	21.33	
400.0218	21.33	
363.7015	21.4	
466.7329	21.42	
318.4286	21.48	
1015.3522	21.49	
170.1094	21.5	
1406.0238	21.67	
606.7325	21.69	
800.411	21.9	
130.1433	22	
437.1084	22	
1472.6	22	
272.1672	22.01	
819.2387	22.01	
946.3472	22.01	
159.5012	22.03	
339.5451	22.03	
209.4891	22.04	
1167.4672	22.04	
1277.6285	22.04	
1233.5645	22.07	
627.5412	22.08	
176.6367	22.1	
1222.6268	22.12	
336.5252	22.15	
728.0902	22.15	
603.8901	22.16	
706.4187	22.16	
282.6013	22.17	
1035.3983	22.17	
501.2817	22.21	
1298.5613	22.23	
1005.4983	22.25	
1015.4613	22.27	
311.7355	22.36	
542.118	22.38	
1679.8177	22.44	
1218.4982	22.46	
1626.0919	22.46	
194.4605	22.49	
301.5743	22.5	
2952.2032	22.53	
958.3508	22.6	
499.0843	22.69	
1443.6173	22.69	
1460.6239	22.69	
624.073	22.78	
814.7782	22.82	
157.3403	22.97	
469.523	22.97	
195.1542	23	
699.5697	23	
2845.6085	23	
831.3566	23.01	
927.4289	23.01	
1384.4644	23.01	
1666.9624	23.03	
435.2646	23.04	
850.2666	23.04	
969.6939	23.04	
159.5582	23.05	
373.8131	23.08	
1186.5584	23.08	
2894.4856	23.08	
1151.7986	23.09	
1339.5455	23.1	
308.6081	23.12	
759.4205	23.13	
125.9277	23.14	
213.7412	23.14	
320.2124	23.14	
855.4635	23.23	
223.2811	23.27	
1644.7495	23.27	
170.7628	23.33	
780.2808	23.33	
688.1725	23.34	
748.9593	23.35	
1577.67	23.35	
1690.7877	23.35	
267.5573	23.39	
640.188	23.41	
582.8741	23.44	
298.7053	23.45	
429.7154	23.45	
228.0465	23.57	
664.303	23.57	
1363.6254	23.62	
419.2444	23.64	
690.2792	23.64	
2118.763	23.65	
406.2898	23.72	
264.3661	24	
1544.8343	24	
2802.4994	24	
1486.6646	24.01	
1566.7414	24.01	
814.6391	24.02	
1800.678	24.02	
1678.7051	24.03	
375.152	24.05	
1339.6079	24.05	
517.2741	24.07	
745.2539	24.1	
557.2673	24.12	
308.7666	24.14	
1086.4149	24.15	
243.0463	24.16	
1551.947	24.16	
532.1137	24.17	
978.59	24.17	
938.4872	24.22	
1568.8144	24.24	
1029.4337	24.25	
2932.7568	24.27	
355.7516	24.33	
1414.9965	24.33	
708.0156	24.46	
621.8999	24.53	
922.462	24.6	
1526.6421	24.6	
1149.6105	24.68	
773.3864	24.92	
135.6767	25	
525.5358	25	
224.7864	25.01	
1034.5805	25.01	
439.2185	25.03	
649.333	25.04	
1017.9454	25.04	
1243.6017	25.04	
391.4543	25.05	
401.1189	25.05	
224.4564	25.09	
428.9501	25.09	
1414.6825	25.09	
1447.9373	25.11	
443.1078	25.12	
173.3717	25.17	
919.8727	25.18	
645.544	25.19	
506.7072	25.2	
1052.1648	25.2	
1237.5515	25.2	
933.4152	25.27	
939.3698	25.32	
1138.0038	25.33	
1206.6133	25.33	
356.4139	25.35	
543.2607	25.35	
1301.5185	25.35	
1031.5079	25.38	
156.3477	25.39	
242.5043	25.45	
1779.8499	25.53	
352.8469	25.56	
846.5021	25.56	
1498.318	25.57	
190.0617	25.6	
752.3216	25.6	
1109.4479	25.6	
1685.8179	25.68	
506.4095	25.69	
292.0753	25.75	
679.2562	25.77	
390.6427	25.78	
916.3619	25.78	
233.2449	25.8	
1434.6967	25.89	
483.1811	25.9	
297.8488	25.92	
268.9001	25.94	
460.1634	26	
629.5992	26	
751.3772	26	
159.5277	26.01	
146.0242	26.02	
609.2379	26.02	
956.376	26.02	
239.3751	26.03	
642.4129	26.03	
484.8535	26.04	
581.4983	26.07	
317.6108	26.08	
683.2287	26.11	
114.1825	26.12	
956.5591	26.14	
1479.3299	26.15	
1400.612	26.16	
308.3082	26.17	
374.0816	26.17	
508.4272	26.18	
249.1581	26.23	
965.3459	26.28	
715.3252	26.33	
1107.7716	26.34	
1354.6731	26.34	
1325.5262	26.37	
355.3878	26.38	
528.1294	26.46	
710.5237	26.48	
820.3805	26.56	
185.3181	26.57	
523.3053	26.6	
490.2696	26.77	
791.8748	26.77	
296.5855	26.88	
362.855	26.9	
1347.8682	26.9	
199.5043	27	
240.5545	27	
263.7957	27	
471.0868	27	
1068.4348	27.01	
365.6329	27.03	
722.4509	27.04	
197.7214	27.08	
139.1437	27.1	
690.0599	27.12	
