#MS Peaks One: + Product Ion (rt: 3.142 min) (1157.8700 -> **) (2021-02-22_EG_1228_12_msms.d)
#
Center X	Height
104.0523	55.01	
111.0543	123.48	
111.0896	31.5	
129.1004	362.86	
129.146	11	
159.0895	92.4	
188.0687	37	
198.1224	247.38	
200.138	73.06	
200.1529	36.2	
216.1318	567.87	
216.2022	4	
216.7186	23.09	
217.1359	42.12	
222.1192	39.89	
225.1184	55.68	
225.139	49	
230.1441	54.41	
240.1306	62.36	
241.1197	162.65	
241.2155	6.01	
241.2665	30	
243.1347	141.96	
250.1256	86.96	
264.0837	12.07	
285.1036	145.06	
285.1755	6	
286.1039	51.44	
292.0764	29.56	
313.1546	49.25	
322.1674	53.01	
328.6376	21.06	
329.1699	119.96	
330.1691	18.78	
330.1896	3.12	
331.1915	35.02	
334.085	31	
339.1997	29.19	
340.1604	71.06	
341.2515	67.46	
355.1207	100.73	
355.1674	9.08	
358.116	46.04	
361.0899	142.49	
369.1696	37.1	
370.1535	42.69	
371.1417	11.56	
371.2003	49.57	
371.2325	51.35	
372.2016	26.05	
375.1084	100.23	
375.1714	7	
386.1608	31.72	
387.8934	18.6	
388.1606	26.09	
398.1933	68.53	
399.2178	37.89	
400.1828	100.35	
400.2566	3.02	
410.1852	38.76	
429.2029	43.19	
439.189	46.35	
463.1448	88.19	
463.2031	3.12	
474.2735	45.23	
477.198	11.28	
487.2651	48.2	
488.1938	41.18	
488.3051	170.46	
488.4127	2.25	
496.2208	49.13	
514.2391	3.38	
516.2636	135.13	
544.2483	13.03	
552.2644	82.09	
553.3376	26.45	
554.2357	44.53	
555.3028	40.04	
558.2325	102.33	
560.2594	23.28	
571.2866	74.78	
588.2503	26.04	
591.3079	21.31	
595.8117	90.73	
599.3342	33	
600.2233	80.31	
600.3454	39.97	
601.3099	12.12	
614.2701	32.65	
615.2823	20.15	
618.58	36.05	
628.3664	56.37	
638.2421	29.01	
641.3475	42.2	
653.3034	32.51	
662.9415	30.43	
670.3562	49.82	
676.262	17.05	
691.3075	117.25	
691.3663	12.01	
692.4725	12.04	
698.277	71.79	
702.3302	23.08	
708.8455	121.26	
721.3366	16.72	
731.3265	15.2	
731.3718	39.08	
744.3152	31.06	
745.351	138.81	
745.6623	41	
745.8334	9.28	
748.4363	18.16	
749.3386	95.51	
762.3363	86.38	
762.6997	13	
769.382	69.91	
787.3531	13	
805.4208	71.43	
809.3835	142.88	
809.4888	10.03	
810.3918	72	
810.4683	5.03	
818.3678	31.89	
832.3861	39.49	
850.378	42.88	
859.3718	12.5	
888.4374	15.15	
890.3549	20.03	
894.391	8.68	
925.4961	61.34	
943.4582	39.38	
969.4563	49.1	
971.4747	93.57	
988.4674	148.31	
992.4416	117.14	
993.471	65.54	
1006.4675	24.41	
1035.4977	14.1	
1043.453	25.23	
1057.9298	15.22	
1061.1635	39.64	
1061.5617	30.04	
1087.547	6.45	
1120.4959	37.1	
1133.5061	13.01	
1140.8313	21	
1161.6202	9.56	
1192.5942	21.92	
1192.6326	16.41	
1194.5724	41.45	
1198.5141	17.66	
1216.5821	13.01	
1219.5292	38.88	
1220.5397	73.45	
1224.5691	124.15	
1233.5049	10.07	
1239.3475	202.12	
1244.5263	76.01	
1258.5067	46.98	
1260.1028	63.24	
1277.5914	59.15	
1283.3907	91.55	
1290.6525	17.89	
1291.6304	35.78	
1294.6551	11	
1314.6425	43.36	
1345.1369	88.3	
1362.6271	18.12	
1377.5092	10.12	
1391.6223	146.04	
1415.8767	39.49	
1428.8613	77.09	
1430.7265	20.1	
1430.7716	9.68	
1452.6748	27.72	
1473.6869	82.01	
1490.7572	45.31	
1532.7273	14.16	
1556.7553	51.03	
1593.2533	6.25	
1605.7254	26.04	
1613.8374	20.06	
1621.8065	59.04	
1626.7825	33.6	
1646.8022	11.08	
1657.3017	93.29	
1672.8033	26.69	
1711.761	47.37	
1740.8446	16.01	
1817.8547	22.12	
1847.9409	21.4	
1865.8851	86.01	
2022.9207	9.75	
2102.0326	16.16	

